rank,suit,displayName,value,wild,drawQuote,winQuote,loseQuote,role,color,imagePrompt
J,Hearts,Harry Caray,10,false,Jack card enters like a fan favorite with dirt on the jersey.,Jack swings big and the scoreboard likes it.,Jack struck out but blamed the shadows.,Jack legend,Cubs Blue and Red,"portrait playing card of Harry Caray as a Cubs Jack, funny heroic baseball style, blue red border, no logos copied exactly"
Q,Hearts,Margaret Donahue,10,false,Queen card arrives with front-office brains and bleacher swagger.,Queen rules the North Side without asking the umpire.,Queen got squeezed by the zone and filed a formal complaint.,Queen legend,Cubs Blue and Red,"portrait playing card of Margaret Donahue as a Cubs Queen, elegant baseball front-office or broadcast themed style, blue red border"
K,Hearts,Ernie Banks,10,false,"King card walks in saying, Let’s play two.",King owns the moment like a statue outside Wrigley.,King popped up; the ivy respectfully looked away.,King legend,Cubs Blue and Red,"portrait playing card of Ernie Banks as a Cubs King, regal Wrigley Field baseball style, blue red border, vintage poster look"
A,Diamonds,World Series Flag Ace,11,false,You drew the ace like the wind just turned toward left field.,Ace high and the ivy is applauding.,Ace went flat; blame the lake breeze and act confident.,Ace feature,Cubs Blue and Red with white pinstripes,"ornate Chicago Cubs themed ace playing card with Wrigley Field, ivy, flags, blue and red border, vintage baseball poster style"
2,Diamonds,Two Outs Nobody On,2,false,"Two card special: double play energy, tiny blackjack panic. No. 2 gets the double-play joke; somewhere Nico Hoerner appreciates the glove work.",You turned two and looked graceful doing it.,"Two outs, no nachos, emotional damage.",number theme,Cubs Blue and Red with white pinstripes,"two Cubs infield gloves turning a double play over ivy and brick, playful baseball card art, blue red accents"
3,Diamonds,Triple Into the Gap,3,false,"Three up, three down, and somehow you still need snacks. No. 3 energy: old-school Cub speed with a triple in mind.","Triple threat: cards, luck, and questionable math.",Three is cute until the dealer pulls a face card.,number theme,Cubs Blue and Red with white pinstripes,"three baseballs streaking toward the Wrigley gap with scoreboard lights, comic sports card style"
4,Diamonds,Four Bag Friendly Confines,4,false,Four winds at Wrigley just voted to mess with the ball. No. 4 gets the Shawon Dunston rocket-arm nod.,"Four bases later, you are jogging like a legend.","Four points: technically progress, emotionally suspicious.",number theme,Cubs Blue and Red with white pinstripes,"four swirling wind arrows over Wrigley Field flags and rooftops, clean illustrated playing card design"
5,Diamonds,Five Tool Cubbie,5,false,Five run rally loaded; somebody wake the bleachers. No. 5 tips a cap to Hack Wilson-sized power.,Five feels alive when the Cubs bats get loud.,Five is what optimism looks like before the dealer ruins it.,number theme,Cubs Blue and Red with white pinstripes,"five Cubs bats stacked like a rally torch with hot dogs and scorecards, humorous vintage card art"
6,Diamonds,Six Pack Bleacher Crew,6,false,Six-four-three! Even your cards know fundamental baseball. No. 6 nods to Stan Hack and clean baseball chaos.,"Six stacked clean, like a double play with style.",Six showed up wearing batting gloves and forgot the bat.,number theme,Cubs Blue and Red with white pinstripes,"six numbered bases and arrows forming a 6-4-3 double play over infield dirt, bold Cubs colors"
7,Diamonds,Seventh Inning Sing Along,7,false,"Seventh inning stretch card: stand up before your luck cramps. No. 7 says stretch first, ask questions later.",You sang it loud enough for Harry to approve.,"Seven tried to stretch, pulled a hamstring, and sat down.",number theme,Cubs Blue and Red with white pinstripes,"seventh inning stretch scene with singing crowd, organ notes, ivy wall, blue red playing card frame"
8,Diamonds,Eight Outfield Bricks,8,false,Eight brings Hawk vibes and a cannon from right field. No. 8 gives Andre Dawson Hawk-level attitude.,"Eight has ivy, bricks, and just enough attitude.",Eight hit the wall and asked for a replay review.,number theme,Cubs Blue and Red with white pinstripes,"right field ivy wall with eight bricks glowing and a hawk silhouette, dramatic Cubs themed card art"
9,Diamonds,Ninth Inning Nail Biter,9,false,"Nine innings of hope, anxiety, and overpriced lemonade. No. 9 carries Javy-style flair and ninth-inning nerves.",You closed the ninth like the North Side needed you.,Nine lives used up; the baseball gods checked the receipt.,number theme,Cubs Blue and Red with white pinstripes,"ninth inning scoreboard with three final outs lit up, tense funny Wrigley crowd illustration"
10,Diamonds,Ten Pinstripe Power,10,false,"Ten salute to Ron Santo; click those heels and draw proud. No. 10 is Ron Santo territory: all heart, all Cubs.",Ten points and the broadcast booth is yelling joyfully.,Ten looked heroic until the dealer found a bigger bat.,number theme,Cubs Blue and Red with white pinstripes,"Ron Santo inspired number ten tribute card with heel click energy, ivy, brick, Cubs blue and red border"
J,Diamonds,Ryne Sandberg,10,false,Jack card enters like a fan favorite with dirt on the jersey.,Jack swings big and the scoreboard likes it.,Jack struck out but blamed the shadows.,Jack legend,Cubs Blue and Red with white pinstripes,"portrait playing card of Ryne Sandberg as a Cubs Jack, funny heroic baseball style, blue red border, no logos copied exactly"
Q,Diamonds,Beth Mowins,10,false,Queen card arrives with front-office brains and bleacher swagger.,Queen rules the North Side without asking the umpire.,Queen got squeezed by the zone and filed a formal complaint.,Queen legend,Cubs Blue and Red with white pinstripes,"portrait playing card of Beth Mowins as a Cubs Queen, elegant baseball front-office or broadcast themed style, blue red border"
K,Diamonds,Ron Santo,10,false,"King card walks in saying, Let’s play two.",King owns the moment like a statue outside Wrigley.,King popped up; the ivy respectfully looked away.,King legend,Cubs Blue and Red with white pinstripes,"portrait playing card of Ron Santo as a Cubs King, regal Wrigley Field baseball style, blue red border, vintage poster look"
A,Clubs,Ivy Wall Ace,11,false,You drew the ace like the wind just turned toward left field.,Ace high and the ivy is applauding.,Ace went flat; blame the lake breeze and act confident.,Ace feature,Wrigley Ivy Green with Cubs Blue,"ornate Chicago Cubs themed ace playing card with Wrigley Field, ivy, flags, blue and red border, vintage baseball poster style"
2,Clubs,Two Finger Hot Dog Grip,2,false,"Two card special: double play energy, tiny blackjack panic. No. 2 gets the double-play joke; somewhere Nico Hoerner appreciates the glove work.",You turned two and looked graceful doing it.,"Two outs, no nachos, emotional damage.",number theme,Wrigley Ivy Green with Cubs Blue,"two Cubs infield gloves turning a double play over ivy and brick, playful baseball card art, blue red accents"
3,Clubs,Triple Play Trouble,3,false,"Three up, three down, and somehow you still need snacks. No. 3 energy: old-school Cub speed with a triple in mind.","Triple threat: cards, luck, and questionable math.",Three is cute until the dealer pulls a face card.,number theme,Wrigley Ivy Green with Cubs Blue,"three baseballs streaking toward the Wrigley gap with scoreboard lights, comic sports card style"
4,Clubs,Four Base Sprint,4,false,Four winds at Wrigley just voted to mess with the ball. No. 4 gets the Shawon Dunston rocket-arm nod.,"Four bases later, you are jogging like a legend.","Four points: technically progress, emotionally suspicious.",number theme,Wrigley Ivy Green with Cubs Blue,"four swirling wind arrows over Wrigley Field flags and rooftops, clean illustrated playing card design"
5,Clubs,Five Dollar Bleacher Dog,5,false,Five run rally loaded; somebody wake the bleachers. No. 5 tips a cap to Hack Wilson-sized power.,Five feels alive when the Cubs bats get loud.,Five is what optimism looks like before the dealer ruins it.,number theme,Wrigley Ivy Green with Cubs Blue,"five Cubs bats stacked like a rally torch with hot dogs and scorecards, humorous vintage card art"
6,Clubs,Six Run Snowball Rally,6,false,Six-four-three! Even your cards know fundamental baseball. No. 6 nods to Stan Hack and clean baseball chaos.,"Six stacked clean, like a double play with style.",Six showed up wearing batting gloves and forgot the bat.,number theme,Wrigley Ivy Green with Cubs Blue,"six numbered bases and arrows forming a 6-4-3 double play over infield dirt, bold Cubs colors"
7,Clubs,Stretch Time Choir,7,false,"Seventh inning stretch card: stand up before your luck cramps. No. 7 says stretch first, ask questions later.",You sang it loud enough for Harry to approve.,"Seven tried to stretch, pulled a hamstring, and sat down.",number theme,Wrigley Ivy Green with Cubs Blue,"seventh inning stretch scene with singing crowd, organ notes, ivy wall, blue red playing card frame"
8,Clubs,Number Eight Hawk Signal,8,false,Eight brings Hawk vibes and a cannon from right field. No. 8 gives Andre Dawson Hawk-level attitude.,"Eight has ivy, bricks, and just enough attitude.",Eight hit the wall and asked for a replay review.,number theme,Wrigley Ivy Green with Cubs Blue,"right field ivy wall with eight bricks glowing and a hawk silhouette, dramatic Cubs themed card art"
9,Clubs,Final Three Outs,9,false,"Nine innings of hope, anxiety, and overpriced lemonade. No. 9 carries Javy-style flair and ninth-inning nerves.",You closed the ninth like the North Side needed you.,Nine lives used up; the baseball gods checked the receipt.,number theme,Wrigley Ivy Green with Cubs Blue,"ninth inning scoreboard with three final outs lit up, tense funny Wrigley crowd illustration"
10,Clubs,Ten Brick Bleacher Bounce,10,false,"Ten salute to Ron Santo; click those heels and draw proud. No. 10 is Ron Santo territory: all heart, all Cubs.",Ten points and the broadcast booth is yelling joyfully.,Ten looked heroic until the dealer found a bigger bat.,number theme,Wrigley Ivy Green with Cubs Blue,"Ron Santo inspired number ten tribute card with heel click energy, ivy, brick, Cubs blue and red border"
J,Clubs,Andre Dawson,10,false,Jack card enters like a fan favorite with dirt on the jersey.,Jack swings big and the scoreboard likes it.,Jack struck out but blamed the shadows.,Jack legend,Wrigley Ivy Green with Cubs Blue,"portrait playing card of Andre Dawson as a Cubs Jack, funny heroic baseball style, blue red border, no logos copied exactly"
Q,Clubs,Justine Siegal,10,false,Queen card arrives with front-office brains and bleacher swagger.,Queen rules the North Side without asking the umpire.,Queen got squeezed by the zone and filed a formal complaint.,Queen legend,Wrigley Ivy Green with Cubs Blue,"portrait playing card of Justine Siegal as a Cubs Queen, elegant baseball front-office or broadcast themed style, blue red border"
K,Clubs,Greg Maddux,10,false,"King card walks in saying, Let’s play two.",King owns the moment like a statue outside Wrigley.,King popped up; the ivy respectfully looked away.,King legend,Wrigley Ivy Green with Cubs Blue,"portrait playing card of Greg Maddux as a Cubs King, regal Wrigley Field baseball style, blue red border, vintage poster look"
A,Spades,North Side Ace,11,false,You drew the ace like the wind just turned toward left field.,Ace high and the ivy is applauding.,Ace went flat; blame the lake breeze and act confident.,Ace feature,Night Game Navy with Cubs Red,"ornate Chicago Cubs themed ace playing card with Wrigley Field, ivy, flags, blue and red border, vintage baseball poster style"
2,Spades,Two Strike Wrigley Wind,2,false,"Two card special: double play energy, tiny blackjack panic. No. 2 gets the double-play joke; somewhere Nico Hoerner appreciates the glove work.",You turned two and looked graceful doing it.,"Two outs, no nachos, emotional damage.",number theme,Night Game Navy with Cubs Red,"two Cubs infield gloves turning a double play over ivy and brick, playful baseball card art, blue red accents"
3,Spades,Three Run Porch Shot,3,false,"Three up, three down, and somehow you still need snacks. No. 3 energy: old-school Cub speed with a triple in mind.","Triple threat: cards, luck, and questionable math.",Three is cute until the dealer pulls a face card.,number theme,Night Game Navy with Cubs Red,"three baseballs streaking toward the Wrigley gap with scoreboard lights, comic sports card style"
4,Spades,Four Seam Fastball,4,false,Four winds at Wrigley just voted to mess with the ball. No. 4 gets the Shawon Dunston rocket-arm nod.,"Four bases later, you are jogging like a legend.","Four points: technically progress, emotionally suspicious.",number theme,Night Game Navy with Cubs Red,"four swirling wind arrows over Wrigley Field flags and rooftops, clean illustrated playing card design"
5,Spades,Five O Clock Shadows,5,false,Five run rally loaded; somebody wake the bleachers. No. 5 tips a cap to Hack Wilson-sized power.,Five feels alive when the Cubs bats get loud.,Five is what optimism looks like before the dealer ruins it.,number theme,Night Game Navy with Cubs Red,"five Cubs bats stacked like a rally torch with hot dogs and scorecards, humorous vintage card art"
6,Spades,Six Section Bleacher Roar,6,false,Six-four-three! Even your cards know fundamental baseball. No. 6 nods to Stan Hack and clean baseball chaos.,"Six stacked clean, like a double play with style.",Six showed up wearing batting gloves and forgot the bat.,number theme,Night Game Navy with Cubs Red,"six numbered bases and arrows forming a 6-4-3 double play over infield dirt, bold Cubs colors"
7,Spades,Lucky Seven Stretch,7,false,"Seventh inning stretch card: stand up before your luck cramps. No. 7 says stretch first, ask questions later.",You sang it loud enough for Harry to approve.,"Seven tried to stretch, pulled a hamstring, and sat down.",number theme,Night Game Navy with Cubs Red,"seventh inning stretch scene with singing crowd, organ notes, ivy wall, blue red playing card frame"
8,Spades,Eight Wind Blown Flags,8,false,Eight brings Hawk vibes and a cannon from right field. No. 8 gives Andre Dawson Hawk-level attitude.,"Eight has ivy, bricks, and just enough attitude.",Eight hit the wall and asked for a replay review.,number theme,Night Game Navy with Cubs Red,"right field ivy wall with eight bricks glowing and a hawk silhouette, dramatic Cubs themed card art"
9,Spades,Nine Lives Curse Breaker,9,false,"Nine innings of hope, anxiety, and overpriced lemonade. No. 9 carries Javy-style flair and ninth-inning nerves.",You closed the ninth like the North Side needed you.,Nine lives used up; the baseball gods checked the receipt.,number theme,Night Game Navy with Cubs Red,"ninth inning scoreboard with three final outs lit up, tense funny Wrigley crowd illustration"
10,Spades,Ten Ron Santo Clicks,10,false,"Ten salute to Ron Santo; click those heels and draw proud. No. 10 is Ron Santo territory: all heart, all Cubs.",Ten points and the broadcast booth is yelling joyfully.,Ten looked heroic until the dealer found a bigger bat.,number theme,Night Game Navy with Cubs Red,"Ron Santo inspired number ten tribute card with heel click energy, ivy, brick, Cubs blue and red border"
J,Spades,Kerry Wood,10,false,Jack card enters like a fan favorite with dirt on the jersey.,Jack swings big and the scoreboard likes it.,Jack struck out but blamed the shadows.,Jack legend,Night Game Navy with Cubs Red,"portrait playing card of Kerry Wood as a Cubs Jack, funny heroic baseball style, blue red border, no logos copied exactly"
Q,Spades,Marla Collins,10,false,Queen card arrives with front-office brains and bleacher swagger.,Queen rules the North Side without asking the umpire.,Queen got squeezed by the zone and filed a formal complaint.,Queen legend,Night Game Navy with Cubs Red,"portrait playing card of Marla Collins as a Cubs Queen, elegant baseball front-office or broadcast themed style, blue red border"
K,Spades,Sammy Sosa,10,false,"King card walks in saying, Let’s play two.",King owns the moment like a statue outside Wrigley.,King popped up; the ivy respectfully looked away.,King legend,Night Game Navy with Cubs Red,"portrait playing card of Sammy Sosa as a Cubs King, regal Wrigley Field baseball style, blue red border, vintage poster look"
